pair	trait1	trait2	QC_STATUS	rg_finite	rg_se_finite	genetic_covariance_finite	cross_trait_intercept_finite	n_valid_alleles	flags	warning_flags
AMD__POAG	AMD	POAG	PASS	YES	YES	YES	YES	1021707	H2_Z_BELOW_4_AMENDED_PROTOCOL	NONE
AMD__CAT	AMD	CAT	PASS	YES	YES	YES	YES	1008074	H2_Z_BELOW_4_AMENDED_PROTOCOL	NONE
AMD__CAD	AMD	CAD	PASS	YES	YES	YES	YES	1022226	H2_Z_BELOW_4_AMENDED_PROTOCOL	NONE
AMD__STROKE	AMD	STROKE	PASS	YES	YES	YES	YES	1020894	H2_Z_BELOW_4_AMENDED_PROTOCOL	NONE
AMD__T2D	AMD	T2D	PASS	YES	YES	YES	YES	1014380	H2_Z_BELOW_4_AMENDED_PROTOCOL	NONE
AMD__CKD	AMD	CKD	PASS	YES	YES	YES	YES	1019696	H2_Z_BELOW_4_AMENDED_PROTOCOL	NONE
AMD__AD	AMD	AD	PASS	YES	YES	YES	YES	1014052	H2_Z_BELOW_4_AMENDED_PROTOCOL	NONE
AMD__PD	AMD	PD	PASS	YES	YES	YES	YES	998240	H2_Z_BELOW_4_AMENDED_PROTOCOL	NONE
POAG__CAT	POAG	CAT	PASS	YES	YES	YES	YES	1160042	NONE	NONE
POAG__CAD	POAG	CAD	PASS	YES	YES	YES	YES	1180907	NONE	NONE
POAG__STROKE	POAG	STROKE	PASS	YES	YES	YES	YES	1174782	NONE	NONE
POAG__T2D	POAG	T2D	PASS	YES	YES	YES	YES	1170204	NONE	NONE
POAG__CKD	POAG	CKD	PASS	YES	YES	YES	YES	1174309	NONE	NONE
POAG__AD	POAG	AD	PASS	YES	YES	YES	YES	1166376	NONE	NONE
POAG__PD	POAG	PD	PASS	YES	YES	YES	YES	1131316	NONE	NONE
CAT__CAD	CAT	CAD	PASS	YES	YES	YES	YES	1159687	NONE	NONE
CAT__STROKE	CAT	STROKE	PASS	YES	YES	YES	YES	1156594	NONE	NONE
CAT__T2D	CAT	T2D	PASS	YES	YES	YES	YES	1150611	NONE	NONE
CAT__CKD	CAT	CKD	PASS	YES	YES	YES	YES	1154723	NONE	NONE
CAT__AD	CAT	AD	PASS	YES	YES	YES	YES	1148058	NONE	NONE
CAT__PD	CAT	PD	PASS	YES	YES	YES	YES	1113328	NONE	NONE
CAD__STROKE	CAD	STROKE	PASS	YES	YES	YES	YES	1174847	NONE	NONE
CAD__T2D	CAD	T2D	PASS	YES	YES	YES	YES	1169870	NONE	NONE
CAD__CKD	CAD	CKD	PASS	YES	YES	YES	YES	1174603	NONE	NONE
CAD__AD	CAD	AD	PASS	YES	YES	YES	YES	1166750	NONE	NONE
CAD__PD	CAD	PD	PASS	YES	YES	YES	YES	1131282	NONE	NONE
STROKE__T2D	STROKE	T2D	PASS	YES	YES	YES	YES	1166560	NONE	NONE
STROKE__CKD	STROKE	CKD	PASS	YES	YES	YES	YES	1169797	NONE	NONE
STROKE__AD	STROKE	AD	PASS	YES	YES	YES	YES	1162499	NONE	NONE
STROKE__PD	STROKE	PD	PASS	YES	YES	YES	YES	1130799	NONE	NONE
T2D__CKD	T2D	CKD	PASS	YES	YES	YES	YES	1166491	NONE	NONE
T2D__AD	T2D	AD	PASS	YES	YES	YES	YES	1156787	NONE	NONE
T2D__PD	T2D	PD	PASS	YES	YES	YES	YES	1123820	NONE	NONE
CKD__AD	CKD	AD	PASS	YES	YES	YES	YES	1161384	NONE	NONE
CKD__PD	CKD	PD	PASS	YES	YES	YES	YES	1127300	NONE	NONE
AD__PD	AD	PD	PASS	YES	YES	YES	YES	1120060	NONE	NONE
