pair	ocular_trait	systemic_trait	global_rg	global_class	local_class	local_positive_atlas_fdr_count	local_negative_atlas_fdr_count	local_total_atlas_fdr_count	hidden_mixed_local_sharing	global_local_classification	local_directional_summary
AMD-CAD	AMD	CAD	-0.007	NO_DETECTABLE_GLOBAL_RG	MIXED_DIRECTION	2	2	4	HIDDEN_MIXED_LOCAL_SHARING	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	MIXED_LOCAL_DIRECTIONS
AMD-STROKE	AMD	STROKE	0.0078	NO_DETECTABLE_GLOBAL_RG	MIXED_DIRECTION	1	1	2	HIDDEN_MIXED_LOCAL_SHARING	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	MIXED_LOCAL_DIRECTIONS
AMD-T2D	AMD	T2D	-0.064	NO_DETECTABLE_GLOBAL_RG	MIXED_DIRECTION	3	2	5	HIDDEN_MIXED_LOCAL_SHARING	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	MIXED_LOCAL_DIRECTIONS
AMD-CKD	AMD	CKD	0.0141	NO_DETECTABLE_GLOBAL_RG	MIXED_DIRECTION	1	1	2	HIDDEN_MIXED_LOCAL_SHARING	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	MIXED_LOCAL_DIRECTIONS
AMD-AD	AMD	AD	-0.0368	NO_DETECTABLE_GLOBAL_RG	NO_DETECTABLE_LOCAL_SIGNAL	0	0	0	NO	NO_LOCAL_SIGNAL	NO_DETECTABLE_LOCAL_SIGNAL
AMD-PD	AMD	PD	-0.0114	NO_DETECTABLE_GLOBAL_RG	NEGATIVE_ONLY	0	2	2	NO	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	NEGATIVE_LOCAL_ONLY
POAG-CAD	POAG	CAD	-0.0159	NO_DETECTABLE_GLOBAL_RG	NEGATIVE_ONLY	0	4	4	NO	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	NEGATIVE_LOCAL_ONLY
POAG-STROKE	POAG	STROKE	0.0059	NO_DETECTABLE_GLOBAL_RG	NEGATIVE_ONLY	0	1	1	NO	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	NEGATIVE_LOCAL_ONLY
POAG-T2D	POAG	T2D	-0.0265	NO_DETECTABLE_GLOBAL_RG	NEGATIVE_ONLY	0	3	3	NO	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	NEGATIVE_LOCAL_ONLY
POAG-CKD	POAG	CKD	-0.0922	NO_DETECTABLE_GLOBAL_RG	MIXED_DIRECTION	1	2	3	HIDDEN_MIXED_LOCAL_SHARING	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	MIXED_LOCAL_DIRECTIONS
POAG-AD	POAG	AD	0.0408	NO_DETECTABLE_GLOBAL_RG	NO_DETECTABLE_LOCAL_SIGNAL	0	0	0	NO	NO_LOCAL_SIGNAL	NO_DETECTABLE_LOCAL_SIGNAL
POAG-PD	POAG	PD	-0.0336	NO_DETECTABLE_GLOBAL_RG	NO_DETECTABLE_LOCAL_SIGNAL	0	0	0	NO	NO_LOCAL_SIGNAL	NO_DETECTABLE_LOCAL_SIGNAL
CAT-CAD	CAT	CAD	0.2159	GLOBAL_POSITIVE	POSITIVE_ONLY	4	0	4	NO	GLOBAL_LOCAL_DIRECTIONAL_CONCORDANCE	POSITIVE_LOCAL_ONLY
CAT-STROKE	CAT	STROKE	0.1034	NO_DETECTABLE_GLOBAL_RG	MIXED_DIRECTION	1	1	2	HIDDEN_MIXED_LOCAL_SHARING	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	MIXED_LOCAL_DIRECTIONS
CAT-T2D	CAT	T2D	0.1459	GLOBAL_POSITIVE	MIXED_DIRECTION	4	3	7	NO	GLOBAL_LOCAL_DIRECTIONALLY_MIXED_OR_DISCORDANT	MIXED_LOCAL_DIRECTIONS
CAT-CKD	CAT	CKD	0.0292	NO_DETECTABLE_GLOBAL_RG	NEGATIVE_ONLY	0	1	1	NO	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	NEGATIVE_LOCAL_ONLY
CAT-AD	CAT	AD	-0.0997	NO_DETECTABLE_GLOBAL_RG	MIXED_DIRECTION	2	3	5	HIDDEN_MIXED_LOCAL_SHARING	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	MIXED_LOCAL_DIRECTIONS
CAT-PD	CAT	PD	-0.0314	NO_DETECTABLE_GLOBAL_RG	NEGATIVE_ONLY	0	1	1	NO	LOCAL_SIGNAL_WITHOUT_DETECTABLE_GLOBAL_RG	NEGATIVE_LOCAL_ONLY
