common_snp	direct_position_match	reference_position_match	position_match	same_orientation	swapped_orientation	strand_ambiguous	unresolved_orientation	numeric_valid	maf_unavailable	maf_below_01	eligible	pair	trait1	trait2	eaf_available_trait1	eaf_available_trait2
1180739	11284	1070565	1071444	553727	516416	0	1301	1070143	0	53	1070090	AMD-CAD	AMD	CAD	True	True
1172581	11196	1069872	1070669	553710	516260	0	699	1069970	0	9	1069961	AMD-STROKE	AMD	STROKE	True	True
1170989	11179	1065069	1065911	551009	514236	0	666	1065245	0	61	1065184	AMD-T2D	AMD	T2D	True	True
1176547	11211	1067992	1068848	552642	515526	0	680	1068168	0	49	1068119	AMD-CKD	AMD	CKD	True	True
1169609	11242	1061091	1061960	549489	512380	0	92	1061869	0	49	1061820	AMD-AD	AMD	AD	True	True
1179845	11278	1069789	1070667	553275	515966	0	1426	1069241	0	61	1069180	AMD-PD	AMD	PD	True	True
1184297	1184297	1073642	1184297	1183323	0	0	974	1183323	110535	298	1072490	POAG-CAD	POAG	CAD	False	True
1175393	1175393	1072313	1175393	1174823	0	0	570	1174823	103030	0	1071793	POAG-STROKE	POAG	STROKE	False	True
1173489	1173489	1067379	1173489	1173112	0	0	377	1173112	106090	0	1067022	POAG-T2D	POAG	T2D	False	True
1179211	1179211	1070329	1179211	1178889	0	0	322	1178889	108869	0	1070020	POAG-CKD	POAG	CKD	False	True
1170110	1169657	1061600	1170092	1168554	0	0	1556	1168554	108320	1	1060233	POAG-AD	POAG	AD	False	True
1183144	1183144	1072620	1183144	1182253	0	0	891	1182253	110415	111	1071727	POAG-PD	POAG	PD	False	True
1176940	1176486	1067379	1176923	609790	565077	0	2073	1174867	0	15446	1159421	CAT-CAD	CAT	CAD	True	True
1168430	1167981	1066275	1168414	605432	561434	0	1564	1166866	0	10799	1156067	CAT-STROKE	CAT	STROKE	True	True
7873436	7870721	4470304	7873222	4417634	3444059	0	11739	7861693	0	1794218	6067475	CAT-T2D	CAT	T2D	True	True
7566441	7563885	4610123	7566257	4213947	3341480	0	11010	7555427	0	1356730	6198697	CAT-CKD	CAT	CKD	True	True
11105800	11080659	4614305	11080664	6353501	4735256	0	17038	11088757	0	4926947	6161810	CAT-AD	CAT	AD	True	True
1175836	1175383	1066396	1175819	609140	564462	0	2234	1173602	0	15420	1158182	CAT-PD	CAT	PD	True	True
