pilot_id	pair	signal1	signal2	p1	p2	p12	PP.H3	PP.H4	H4_H3	status
"P2BP02"	"AMD-T2D"	NA	NA	1e-04	1e-04	1e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP02"	"AMD-T2D"	NA	NA	1e-04	1e-04	5e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP02"	"AMD-T2D"	NA	NA	1e-04	1e-04	1e-05	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP03"	"AMD-CKD"	NA	NA	1e-04	1e-04	1e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP03"	"AMD-CKD"	NA	NA	1e-04	1e-04	5e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP03"	"AMD-CKD"	NA	NA	1e-04	1e-04	1e-05	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP04"	"AMD-STROKE"	NA	NA	1e-04	1e-04	1e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP04"	"AMD-STROKE"	NA	NA	1e-04	1e-04	5e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP04"	"AMD-STROKE"	NA	NA	1e-04	1e-04	1e-05	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP05"	"POAG-CKD"	NA	NA	1e-04	1e-04	1e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP05"	"POAG-CKD"	NA	NA	1e-04	1e-04	5e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP05"	"POAG-CKD"	NA	NA	1e-04	1e-04	1e-05	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP06"	"AMD-T2D"	NA	NA	1e-04	1e-04	1e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP06"	"AMD-T2D"	NA	NA	1e-04	1e-04	5e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP06"	"AMD-T2D"	NA	NA	1e-04	1e-04	1e-05	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP07"	"AMD-CAD"	1	1	1e-04	1e-04	1e-06	0.99997192243565	1.40023358906464e-06	1.40027290531724e-06	"PASS"
"P2BP07"	"AMD-CAD"	1	1	1e-04	1e-04	5e-06	0.999966321689925	7.00112873246073e-06	7.00136452658621e-06	"PASS"
"P2BP07"	"AMD-CAD"	1	1	1e-04	1e-04	1e-05	0.999959320845991	1.40021594340007e-05	1.40027290531724e-05	"PASS"
"P2BP07"	"AMD-CAD"	1	2	1e-04	1e-04	1e-06	0.0689660431623747	0.888641015766408	12.8851964679803	"PASS"
"P2BP07"	"AMD-CAD"	1	2	1e-04	1e-04	5e-06	0.0151421831392474	0.97555002351671	64.4259823399015	"PASS"
"P2BP07"	"AMD-CAD"	1	2	1e-04	1e-04	1e-05	0.0076647935810264	0.987623711780395	128.851964679803	"PASS"
"P2BP08"	"AMD-STROKE"	NA	NA	1e-04	1e-04	1e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP08"	"AMD-STROKE"	NA	NA	1e-04	1e-04	5e-06	NA	NA	NA	"NOT_RUN_LD_LIMITED"
"P2BP08"	"AMD-STROKE"	NA	NA	1e-04	1e-04	1e-05	NA	NA	NA	"NOT_RUN_LD_LIMITED"
